,MouseID,Tissue,Treatment,Age,Class,Frequency
185,YM13-MS,Hi,NT,Young,Total_InDel_Freq,4.4276191840714e-07
186,YM14-MS,Hi,NT,Young,Total_InDel_Freq,1.8023859331618e-07
187,YM3-MS,Hi,NT,Young,Total_InDel_Freq,1.084621764566e-07
188,YM5-MS,Hi,NT,Young,Total_InDel_Freq,2.060918591902e-07
189,YM7-MS,Hi,NT,Young,Total_InDel_Freq,1.4680947276745e-07
190,YM13-MS,K,NT,Young,Total_InDel_Freq,5.1745093170574e-07
191,YM14-MS,K,NT,Young,Total_InDel_Freq,2.373486740061e-07
192,YM3-MS,K,NT,Young,Total_InDel_Freq,7.7554056925822e-07
193,YM5-MS,K,NT,Young,Total_InDel_Freq,2.4279836109269e-07
194,YM7-MS,K,NT,Young,Total_InDel_Freq,2.9807578190321e-07
195,YM13-MS,L,NT,Young,Total_InDel_Freq,5.8138419437302e-07
196,YM14-MS,L,NT,Young,Total_InDel_Freq,7.4568000590736e-07
197,YM3-MS,L,NT,Young,Total_InDel_Freq,6.1184767692622e-07
198,YM5-MS,L,NT,Young,Total_InDel_Freq,1.693586076216e-07
199,YM7-MS,L,NT,Young,Total_InDel_Freq,3.8177737585039e-07
200,YM13-MS,M,NT,Young,Total_InDel_Freq,5.8220324302379e-07
201,YM14-MS,M,NT,Young,Total_InDel_Freq,1.4399479341158e-07
202,YM3-MS,M,NT,Young,Total_InDel_Freq,5.2071821891256e-07
203,YM5-MS,M,NT,Young,Total_InDel_Freq,3.2682526189325e-07
204,YM7-MS,M,NT,Young,Total_InDel_Freq,1.3844305737833e-07
205,YM13-MS,R,NT,Young,Total_InDel_Freq,1.4798491703455e-07
206,YM14-MS,R,NT,Young,Total_InDel_Freq,4.69797428047e-07
207,YM3-MS,R,NT,Young,Total_InDel_Freq,1.3593894764359e-07
208,YM5-MS,R,NT,Young,Total_InDel_Freq,3.7206586178231e-07
209,YM7-MS,R,NT,Young,Total_InDel_Freq,2.0020222712966e-07
210,JW24-LF,C,NT,Old,Total_InDel_Freq,2.4044898007554e-07
211,JW24-NP,C,NT,Old,Total_InDel_Freq,2.4932714047387e-07
212,JW24-R,C,NT,Old,Total_InDel_Freq,7.8488240007106e-07
213,JW26-NP,C,NT,Old,Total_InDel_Freq,6.8190863157389e-07
214,OM7-MS,C,NT,Old,Total_InDel_Freq,6.6433442697259e-07
215,OM8-MS,C,NT,Old,Total_InDel_Freq,8.8624705740214e-07
216,JW24-LF,RC,NT,Old,Total_InDel_Freq,4.2329869200704e-07
217,JW24-NP,RC,NT,Old,Total_InDel_Freq,3.798324710903e-07
218,JW24-R,RC,NT,Old,Total_InDel_Freq,3.43874888257651e-06
219,JW26-NP,RC,NT,Old,Total_InDel_Freq,4.62472790970024e-06
220,OM7-MS,RC,NT,Old,Total_InDel_Freq,6.9445874573503e-07
221,OM8-MS,RC,NT,Old,Total_InDel_Freq,1.58973872788529e-06
222,JW24-LF,He,NT,Old,Total_InDel_Freq,2.6137833741001e-07
223,JW24-NP,He,NT,Old,Total_InDel_Freq,2.4217744135476e-07
224,JW24-R,He,NT,Old,Total_InDel_Freq,6.9887021585324e-07
225,JW26-NP,He,NT,Old,Total_InDel_Freq,7.2887941951283e-07
226,OM7-MS,He,NT,Old,Total_InDel_Freq,6.8996793011812e-07
227,OM8-MS,He,NT,Old,Total_InDel_Freq,7.5543143872975e-07
228,JW24-LF,Hi,NT,Old,Total_InDel_Freq,3.8434983930255e-07
229,JW24-NP,Hi,NT,Old,Total_InDel_Freq,1.00237365479332e-06
230,JW24-R,Hi,NT,Old,Total_InDel_Freq,1.36413933950703e-06
231,JW26-NP,Hi,NT,Old,Total_InDel_Freq,1.35044570749815e-06
232,OM7-MS,Hi,NT,Old,Total_InDel_Freq,4.66e-07
233,OM8-MS,Hi,NT,Old,Total_InDel_Freq,1.42412991934881e-06
234,JW24-LF,K,NT,Old,Total_InDel_Freq,8.2314478326066e-07
235,JW24-NP,K,NT,Old,Total_InDel_Freq,8.1177667668545e-07
236,JW24-R,K,NT,Old,Total_InDel_Freq,2.41373543594053e-06
237,JW26-NP,K,NT,Old,Total_InDel_Freq,2.77958718949369e-06
238,OM7-MS,K,NT,Old,Total_InDel_Freq,2.94579886050724e-06
239,OM8-MS,K,NT,Old,Total_InDel_Freq,2.43912760535982e-06
240,JW24-LF,L,NT,Old,Total_InDel_Freq,7.8679064185091e-07
241,JW24-NP,L,NT,Old,Total_InDel_Freq,5.486410934667e-07
242,JW24-R,L,NT,Old,Total_InDel_Freq,2.11485096240958e-06
243,JW26-NP,L,NT,Old,Total_InDel_Freq,2.36229056363435e-06
244,OM7-MS,L,NT,Old,Total_InDel_Freq,2.10941632151411e-06
245,OM8-MS,L,NT,Old,Total_InDel_Freq,3.11360582702324e-06
246,JW24-LF,M,NT,Old,Total_InDel_Freq,1.62374724145993e-06
247,JW24-NP,M,NT,Old,Total_InDel_Freq,4.3313199506407e-07
248,JW24-R,M,NT,Old,Total_InDel_Freq,1.50550569158881e-06
249,JW26-NP,M,NT,Old,Total_InDel_Freq,1.43676248269508e-06
250,OM7-MS,M,NT,Old,Total_InDel_Freq,1.55821466374436e-06
251,OM8-MS,M,NT,Old,Total_InDel_Freq,1.76655311921931e-06
252,JW24-LF,R,NT,Old,Total_InDel_Freq,3.83e-07
253,JW24-NP,R,NT,Old,Total_InDel_Freq,3.1357212814836e-07
254,JW24-R,R,NT,Old,Total_InDel_Freq,1.22249328107062e-06
255,JW26-NP,R,NT,Old,Total_InDel_Freq,2.64e-07
256,OM7-MS,R,NT,Old,Total_InDel_Freq,1.26369698597076e-06
257,OM8-MS,R,NT,Old,Total_InDel_Freq,8.9938815950475e-07
258,OM3-MS-P,B,perf,Old,Total_InDel_Freq,2.1034542959661e-07
259,OM4-MS-P,B,perf,Old,Total_InDel_Freq,3.2493980799523e-07
260,OM6-MS-P,B,perf,Old,Total_InDel_Freq,2.215782959982e-07
261,OM3-MS-P,C,perf,Old,Total_InDel_Freq,2.2799677374556e-07
262,OM4-MS-P,C,perf,Old,Total_InDel_Freq,2.8147490174503e-07
263,OM6-MS-P,C,perf,Old,Total_InDel_Freq,2.5383363426922e-07
264,OM3-MS-P,Hi,perf,Old,Total_InDel_Freq,5.251100459328e-07
265,OM4-MS-P,Hi,perf,Old,Total_InDel_Freq,5.266248693778e-07
266,OM6-MS-P,Hi,perf,Old,Total_InDel_Freq,2.9681094757916e-07
267,OM3-MS-P,K,perf,Old,Total_InDel_Freq,9.3117266699403e-07
268,OM4-MS-P,K,perf,Old,Total_InDel_Freq,6.8829896045836e-07
269,OM6-MS-P,K,perf,Old,Total_InDel_Freq,1.11986396788409e-06
270,OM3-MS-P,L,perf,Old,Total_InDel_Freq,6.8627277600769e-07
271,OM4-MS-P,L,perf,Old,Total_InDel_Freq,7.535387153637e-07
272,OM6-MS-P,L,perf,Old,Total_InDel_Freq,9.2772607959774e-07
273,OM3-MS-P,M,perf,Old,Total_InDel_Freq,6.6678657860147e-07
274,OM4-MS-P,M,perf,Old,Total_InDel_Freq,5.7485739347894e-07
275,OM6-MS-P,M,perf,Old,Total_InDel_Freq,4.3584242587802e-07
276,JW21-NP,C,SS31,Old,Total_InDel_Freq,2.5380477802723e-07
277,JW21-R,C,SS31,Old,Total_InDel_Freq,7.6605761128605e-07
278,JW22-LF,C,SS31,Old,Total_InDel_Freq,8.728333246212e-08
279,JW22-NP,C,SS31,Old,Total_InDel_Freq,3.9271329384767e-07
280,JW55-RB,C,SS31,Old,Total_InDel_Freq,3.4804942083002e-07
281,JW21-NP,RC,SS31,Old,Total_InDel_Freq,1.36029398921021e-06
282,JW21-R,RC,SS31,Old,Total_InDel_Freq,4.8531197903107e-07
283,JW22-LF,RC,SS31,Old,Total_InDel_Freq,4.5548207653628e-07
284,JW22-NP,RC,SS31,Old,Total_InDel_Freq,4.8359237643514e-07
285,JW55-RB,RC,SS31,Old,Total_InDel_Freq,6.7187155159677e-07
286,JW21-NP,He,SS31,Old,Total_InDel_Freq,2.7631805223519e-07
287,JW21-R,He,SS31,Old,Total_InDel_Freq,7.1353215836972e-07
288,JW22-LF,He,SS31,Old,Total_InDel_Freq,8.8284501147591e-07
289,JW22-NP,He,SS31,Old,Total_InDel_Freq,2.3269664707308e-07
290,JW55-RB,He,SS31,Old,Total_InDel_Freq,5.745726778939e-07
